"","county","mean_price","p7525_ratio"
"1",1001,1405.473,1.817402
"2",1003,2072.4,2.611486
"3",1005,1861.411,5.093418
"4",1007,1342.165,3.190217
"5",1009,1013.086,2.164164
"6",1011,2084.171,4.516116
"7",1013,1409.839,1.817391
"8",1015,1881.581,1.948206
"9",1017,1601.639,2.487078
"10",1019,1612.216,3.8944
"11",1021,1418.607,2.895517
"12",1023,1009.407,3.09349
"13",1025,1346.785,1.758649
"14",1029,1489.489,2.937328
"15",1031,1356.446,2.423214
"16",1033,2118.421,1.842013
"17",1035,1118.819,1.345055
"18",1037,1143.088,2.445266
"19",1039,1944.777,5.816898
"20",1041,1784.778,2.494769
"21",1043,1098.675,2.310786
"22",1045,1785.551,4.146849
"23",1047,1268.401,1.577487
"24",1049,1415.72,2.249368
"25",1051,1292.892,1.891381
"26",1053,1352.435,2.346462
"27",1055,1953.17,2.029155
"28",1057,1282.665,2.06734
"29",1059,1896.942,2.056376
"30",1061,1331.853,2.507125
"31",1063,861.1404,3.276191
"32",1065,1067.429,4.216429
"33",1067,1348.262,2.721429
"34",1069,1250.996,2.516089
"35",1071,1587.175,2.895992
"36",1073,1100.101,2.929313
"37",1075,2358.042,2.968942
"38",1077,1638.765,2.519951
"39",1079,2036.061,3.251654
"40",1081,1429.586,1.564469
"41",1083,1518.368,2.622955
"42",1085,1405.406,2.108462
"43",1087,1348.974,1.528225
"44",1089,1262.86,2.168154
"45",1091,1088.604,3.319979
"46",1093,1370.964,2.218371
"47",1095,1363.645,2.646715
"48",1097,1244.608,1.435389
"49",1099,1475.721,1.602329
"50",1101,1352.392,1.817402
"51",1103,1741.621,3.010233
"52",1107,1450.227,3.989636
"53",1109,1867.773,3.185472
"54",1111,1698.168,3.149769
"55",1113,1455.509,2.862571
"56",1115,1177.355,2.109293
"57",1117,1103.78,2.944
"58",1119,878.6805,3.009365
"59",1121,1554.168,3.107143
"60",1123,1526.483,1.672637
"61",1125,934.5642,3.25719
"62",1127,1341.341,2.957989
"63",1129,1303.767,1.959007
"64",1131,1005.185,1.626035
"65",1133,1447.934,3.155932
