"shapeid","HSA_BDRY_I","HSA93","HSANAME"
"0","1.0","1001.0","AL- ALABASTER"
"1.0","2.0","1002.0","AL- ALEXANDER CITY"
"1.1","2.0","1002.0","AL- ALEXANDER CITY"
"2","3.0","1003.0","AL- ANDALUSIA"
"3","4.0","1004.0","AL- ANNISTON"
"4","5.0","1006.0","AL- ASHLAND"
"5","6.0","1007.0","AL- ATHENS"
"6","7.0","1008.0","AL- ATMORE"
"7","8.0","1010.0","AL- BESSEMER"
"8.0","9.0","1011.0","AL- BIRMINGHAM"
"8.1","9.0","1011.0","AL- BIRMINGHAM"
"9","10.0","1012.0","AL- BOAZ"
"10","11.0","1013.0","AL- BREWTON"
"11","12.0","1014.0","AL- BRIDGEPORT"
"12","13.0","1016.0","AL- CAMDEN"
"13","14.0","1017.0","AL- CARROLLTON"
"14","15.0","1018.0","AL- CENTRE"
"15","16.0","1019.0","AL- CENTREVILLE"
"16","17.0","1022.0","AL- CULLMAN"
"17","18.0","1023.0","AL- DADEVILLE"
"18","19.0","1024.0","AL- DECATUR"
"19","20.0","1025.0","AL- DEMOPOLIS"
"20.0","21.0","1026.0","AL- DOTHAN"
"20.1","21.0","1026.0","AL- DOTHAN"
"21","22.0","1027.0","AL- ELBA"
"22","23.0","1028.0","AL- ENTERPRISE"
"23","24.0","1029.0","AL- EUFAULA"
"24","25.0","1031.0","AL- EVERGREEN"
"25","26.0","1032.0","AL- FAIRHOPE"
"26","27.0","1033.0","AL- FAYETTE"
"27","28.0","1035.0","AL- FLORALA"
"28","29.0","1036.0","AL- FLORENCE"
"29.0","30.0","1037.0","AL- FOLEY"
"29.1","30.0","1037.0","AL- FOLEY"
"29.2","30.0","1037.0","AL- FOLEY"
"29.3","30.0","1037.0","AL- FOLEY"
"30","31.0","1038.0","AL- FORT PAYNE"
"31","32.0","1039.0","AL- GADSDEN"
"32","33.0","1040.0","AL- GENEVA"
"33","34.0","1044.0","AL- GREENVILLE"
"34","35.0","1045.0","AL- GROVE HILL"
