,X,hsanum,savings,trunc_savings,mean_price,p7525_ratio
1,1,1001,-59.74317936,-60,"1,405",1.82
2,2,1002,-95.5610515,-96,"10,000",10000.00
3,3,1003,-136.4380637,-136,"2,072",2.61
4,4,1004,-101.1639638,-101,"10,000",10000.00
5,5,1004,-101.1639638,-101,"10,000",10000.00
6,6,1006,-78.17177813,-78,"10,000",10000.00
7,7,1007,-68.60574123,-69,"1,342",3.19
8,8,1008,NA,"10,000","10,000",10000.00
9,9,1010,NA,"10,000","10,000",10000.00
10,10,1011,-102.8332483,-103,"2,084",4.52
11,11,1011,-102.8332483,-103,"2,084",4.52
12,12,1011,-102.8332483,-103,"2,084",4.52
13,13,1012,-74.3955784,-74,"10,000",10000.00
14,14,1013,-41.43949647,-41,"1,410",1.82
15,15,1016,-36.15316188,-36,"10,000",10000.00
16,16,1017,-88.07789133,-88,"1,602",2.49
17,17,1018,-55.10250504,-55,"10,000",10000.00
18,18,1019,-43.72754209,-44,"1,612",3.89
19,19,1022,-49.25748118,-49,"10,000",10000.00
20,20,1023,NA,"10,000","1,009",3.09
21,21,1024,-132.4812407,-132,"10,000",10000.00
22,22,1024,-132.4812407,-132,"10,000",10000.00
23,23,1025,-73.66318897,-74,"1,347",1.76
24,24,1026,-82.21917628,-82,"10,000",10000.00
25,25,1026,-82.21917628,-82,"10,000",10000.00
26,26,1026,-82.21917628,-82,"10,000",10000.00
27,27,1027,NA,"10,000","10,000",10000.00
28,28,1028,-107.5804853,-108,"10,000",10000.00
29,29,1029,-107.4993804,-107,"1,489",2.94
30,30,1031,-87.40662369,-87,"1,356",2.42
31,31,1032,NA,"10,000","10,000",10000.00
32,32,1033,-27.98557287,-28,"2,118",1.84
33,33,1036,-90.80977987,-91,"10,000",10000.00
34,34,1037,NA,"10,000","1,143",2.45
35,35,1038,-83.83490997,-84,"10,000",10000.00
36,36,1039,-84.95325635,-85,"1,945",5.82
37,37,1039,-84.95325635,-85,"1,945",5.82
38,38,1040,NA,"10,000","10,000",10000.00
39,39,1044,-92.11757462,-92,"10,000",10000.00
40,40,1045,NA,"10,000","1,786",4.15
41,41,1046,NA,"10,000","10,000",10000.00
42,42,1047,-84.91962833,-85,"1,268",1.58
43,43,1048,NA,"10,000","10,000",10000.00
44,44,1049,NA,"10,000","1,416",2.25
45,45,1051,-95.25111126,-95,"1,293",1.89
46,46,1051,-95.25111126,-95,"1,293",1.89
47,47,1051,-95.25111126,-95,"1,293",1.89
48,48,1053,NA,"10,000","1,352",2.35
49,49,1054,-49.96659092,-50,"10,000",10000.00
50,50,1056,-116.765322,-117,"10,000",10000.00
51,51,1057,-78.85578132,-79,"1,283",2.07
52,52,1057,-78.85578132,-79,"1,283",2.07
53,53,1057,-78.85578132,-79,"1,283",2.07
54,54,1058,-72.46864036,-72,"10,000",10000.00
55,55,1059,-113.201117,-113,"1,897",2.06
56,56,1059,-113.201117,-113,"1,897",2.06
57,57,1060,-74.7259636,-75,"10,000",10000.00
58,58,1061,-127.5718249,-128,"1,332",2.51
59,59,1061,-127.5718249,-128,"1,332",2.51
60,60,1063,NA,"10,000",861,3.28
61,61,1064,-78.54323121,-79,"10,000",10000.00
62,62,1065,NA,"10,000","1,067",4.22
63,63,1066,-122.8513706,-123,"10,000",10000.00
64,64,1068,-121.0899896,-121,"10,000",10000.00
65,65,1068,-121.0899896,-121,"10,000",10000.00
66,66,1070,-52.57379733,-53,"10,000",10000.00
67,67,1073,-79.79928481,-80,"1,100",2.93
68,68,1074,-75.2857425,-75,"10,000",10000.00
69,69,1075,-104.5911688,-105,"2,358",2.97
70,70,1077,-53.29573108,-53,"1,639",2.52
71,71,1078,-94.4464199,-94,"10,000",10000.00
72,72,1079,NA,"10,000","2,036",3.25
73,73,1080,NA,"10,000","10,000",10000.00
74,74,1081,-171.392822,-171,"1,430",1.56
75,75,1082,-67.13077778,-67,"10,000",10000.00
76,76,1082,-67.13077778,-67,"10,000",10000.00
77,77,1082,-67.13077778,-67,"10,000",10000.00
78,78,1083,-114.1840625,-114,"1,518",2.62
79,79,1084,-91.01363327,-91,"10,000",10000.00
80,80,1086,NA,"10,000","10,000",10000.00
81,81,1088,-76.33807921,-76,"10,000",10000.00
82,82,2001,-127.5282955,-128,"10,000",10000.00
83,83,2001,-127.5282955,-128,"10,000",10000.00
84,84,2001,-127.5282955,-128,"10,000",10000.00
85,85,2003,-104.1062595,-104,"10,000",10000.00
86,86,2003,-104.1062595,-104,"10,000",10000.00
87,87,2004,NA,"10,000","10,000",10000.00
88,88,2005,-130.5106043,-131,"10,000",10000.00
89,89,2006,-72.53270676,-73,"10,000",10000.00
90,90,2007,-208.2008884,-208,"10,000",10000.00
91,91,2008,-109.5471575,-110,"10,000",10000.00
92,92,2009,-135.8383604,-136,"10,000",10000.00
93,93,2010,-176.1697144,-176,"10,000",10000.00
94,94,2012,-112.6030029,-113,"10,000",10000.00
95,95,2013,-74.34489853,-74,"10,000",10000.00
96,96,2014,-101.7594653,-102,"10,000",10000.00
97,97,2017,-118.8346634,-119,"10,000",10000.00
98,98,2019,-299.7972664,-300,"10,000",10000.00
99,99,3002,NA,"10,000","10,000",10000.00
100,100,3003,NA,"10,000","10,000",10000.00
101,101,3003,NA,"10,000","10,000",10000.00
102,102,3004,-111.0980041,-111,"10,000",10000.00
103,103,3005,NA,"10,000","10,000",10000.00
104,104,3005,NA,"10,000","10,000",10000.00
105,105,3006,NA,"10,000","10,000",10000.00
106,106,3007,NA,"10,000","10,000",10000.00
107,107,3008,-54.09833588,-54,"10,000",10000.00
108,108,3010,-215.6459741,-216,"10,000",10000.00
109,109,3014,-292.1386665,-292,"10,000",10000.00
110,110,3015,NA,"10,000","10,000",10000.00
111,111,3016,NA,"10,000","10,000",10000.00
112,112,3016,NA,"10,000","10,000",10000.00
113,113,3016,NA,"10,000","10,000",10000.00
114,114,3019,NA,"10,000","10,000",10000.00
115,115,3020,-232.5105864,-233,"10,000",10000.00
116,116,3020,-232.5105864,-233,"10,000",10000.00
117,117,3021,-561.0298904,-561,"10,000",10000.00
118,118,3022,-118.7710485,-119,"10,000",10000.00
119,119,3022,-118.7710485,-119,"10,000",10000.00
120,120,3022,-118.7710485,-119,"10,000",10000.00
121,121,3023,-174.7873161,-175,"10,000",10000.00
122,122,3023,-174.7873161,-175,"10,000",10000.00
123,123,3024,-127.1925598,-127,"10,000",10000.00
124,124,3025,NA,"10,000","10,000",10000.00
125,125,3025,NA,"10,000","10,000",10000.00
126,126,3026,-165.6469375,-166,"10,000",10000.00
127,127,3027,-163.6097867,-164,"10,000",10000.00
128,128,3028,NA,"10,000","10,000",10000.00
